Date,Open,High,Low,Close,Adj Close,Volume
2020-05-21,43.580002,44.779999,43.360001,43.680000,43.680000,198600
2020-05-22,44.930000,45.160000,43.709999,45.110001,45.110001,329200
2020-05-26,49.369999,49.639999,48.320000,48.330002,48.330002,526800
2020-05-27,52.130001,52.160000,49.209999,50.799999,50.799999,438100
2020-05-28,51.250000,51.250000,48.919998,49.060001,49.060001,336000
2020-05-29,48.099998,48.509998,47.139999,47.849998,47.849998,552600
2020-06-01,47.439999,49.799999,47.439999,49.570000,49.570000,287200
2020-06-02,51.790001,51.860001,50.299999,50.750000,50.750000,213100
2020-06-03,52.110001,53.240002,52.099998,52.759998,52.759998,200900
2020-06-04,50.990002,52.360001,50.119999,52.000000,52.000000,377200
2020-06-05,54.310001,55.060001,53.849998,54.230000,54.230000,440000
2020-06-08,55.560001,55.980000,54.480000,55.439999,55.439999,485200
2020-06-09,53.669998,54.020000,52.750000,53.470001,53.470001,335800
2020-06-10,52.080002,52.599998,50.779999,51.250000,51.250000,506400
2020-06-11,47.980000,48.950001,46.459999,46.560001,46.560001,276000
2020-06-12,50.150002,50.590000,47.080002,48.389999,48.389999,301600
2020-06-15,46.619999,49.450001,46.450001,48.939999,48.939999,262100
2020-06-16,50.900002,51.080002,48.209999,49.009998,49.009998,290600
2020-06-17,49.590000,49.619999,48.180000,48.470001,48.470001,178100
2020-06-18,48.580002,49.810001,48.310001,49.349998,49.349998,237300
2020-06-19,49.950001,50.009998,47.750000,48.169998,48.169998,202200
2020-06-22,48.560001,48.730000,47.310001,48.320000,48.320000,875300
2020-06-23,49.029999,49.029999,47.560001,48.000000,48.000000,666400
2020-06-24,46.820000,46.930000,44.910000,45.209999,45.209999,262700
2020-06-25,44.419998,45.029999,43.939999,44.959999,44.959999,313300
2020-06-26,45.310001,45.470001,43.930000,44.009998,44.009998,277600
2020-06-29,44.349998,45.480000,43.860001,45.220001,45.220001,277500
2020-06-30,43.759998,44.610001,42.910000,44.360001,44.360001,390000
